Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Earth_Moon
715.5848383403525,637.687331966502,1090.063431500047,3098.265496316184,5487.252661111066,9690.036454875255,15127.45803314701,1.347130376681148
716.5978558417095,634.8702800807545,1086.470074658662,3097.551660733662,5488.799624068046,9697.976264546136,15135.35718121262,1.34952549914095
717.3365398122205,632.0382168918209,1082.860050998977,3096.730272528647,5490.217584684473,9705.971610633287,15143.19326219988,1.347607185657495
717.7999983670911,629.1912253110494,1079.233748182729,3095.801443273895,5491.50639364435,9714.019841153666,15150.96420449121,1.341320737030675
717.9867686903541,626.3293997150909,1075.591543801424,3094.765346526942,5492.665954285245,9722.118249882325,15158.66784588724,1.330961364866687
717.8948007654515,623.452846593092,1071.933803296801,3093.621989258226,5493.696163110506,9730.264263401661,15166.30187127565,1.317173647530402
717.521438637147,620.5616850680983,1068.260876420405,3092.372014322607,5494.596985623269,9738.45528314604,15173.86396168655,1.300922188137559
716.8633985794517,617.6560464050691,1064.573091996766,3091.015102843689,5495.368384645491,9746.68868696713,15181.35200044369,1.283427134964062
715.9167437611369,614.7360714811931,1060.870751245563,3089.55229122846,5496.010298324932,9754.961937231492,15188.76412124631,1.266059501315404
714.6768555034403,611.8019052982017,1057.154120637475,3087.983826307795,5496.522654829014,9763.272475648677,15196.09854522843,1.250197853205737
713.1384020826396,608.8536881553939,1053.423426061514,3086.310080131512,5496.905378262778,9771.61785857501,15203.3533696396,1.237060744488644
711.2953071066777,605.8915441391093,1049.678850581793,3084.531074649058,5497.158372084068,9779.995614055557,15210.52651755229,1.227545071390407
709.14072036748,602.9155688403549,1045.920537754621,3082.646889917769,5497.281543841252,9788.403268757824,15217.61588768289,1.222110938702786
706.6669942077262,599.9258190432296,1042.148601135627,3080.658002484328,5497.274744383582,9796.838453105001,15224.61953407616,1.220748838134491
703.8656676472054,596.9223069016899,1038.363138674557,3078.563954118904,5497.137829948849,9805.29870777858,15231.53567524319,1.223041906486931
700.7274592553042,593.904999796469,1034.564249165097,3076.365586527616,5496.87069572236,9813.781571304979,15238.36251282949,1.228304125197412
697.2422689141755,590.873825339867,1030.752047607957,3074.062934650684,5496.473231174913,9822.28448142909,15245.09804299431,1.235751188208639
693.3991888164763,587.8286797924245,1026.926677253415,3071.656415545162,5495.945368358252,9830.804811996675,15251.74005689612,1.244655743144407
689.1865252342407,584.7694379101353,1023.088317489141,3069.14581217765,5495.28706521546,9839.339968636075,15258.28633591083,1.254451498631376
684.5918342646854,581.6959627322213,1019.237187847162,3066.531326296281,5494.498340145215,9847.88719852298,15264.73484845009,1.264771426151168
679.601976403585,578.6081145246626,1015.373548885211,3063.813419735875,5493.579294556694,9856.4437587123,15271.08375624209,1.275424368226709
674.2031962147769,575.505758609789,1011.497700675655,3060.991859722708,5492.530080551398,9865.00689487993,15277.33123617786,1.286327201916016
668.3812346221664,572.3887720140235,1007.609979420787,3058.067666021003,5491.350867906493,9873.573829860205,15283.4753156207,1.297415877041939
662.1214826158541,569.2570488467184,1003.710752562772,3055.041178210366,5490.041914931175,9882.141830828983,15289.51390356124,1.308559208157305
655.4091865535563,566.1105042538071,999.8004127685681,3051.913339253135,5488.603503937277,9890.708052035736,15295.44499545555,1.319495304802605
648.2297167326752,562.949076806828,995.8793712958036,3048.684196164614,5487.035990971494,9899.269727261566,15301.26684643799,1.329803157004184
640.5689123246037,559.7727293329559,991.9480513605776,3045.354484832208,5485.339763558194,9907.824118920691,15306.9779389681,1.338912990375255
632.4135167739249,556.5814484144886,988.0068821227813,3041.924949679485,5483.515239713531,9916.36844926445,15312.57678160402,1.346150927375285
623.7517179386454,553.3752429921211,984.0562937449924,3038.39583199086,5481.562918569729,9924.900023105794,15318.06174992721,1.350808234219703
614.5738060770594,550.1541426180908,980.0967137137337,3034.768375070223,5479.483379363836,9933.416117289971,15323.43113469653,1.352223738984804
604.8729597012394,546.9181958977404,976.1285643192505,3031.043236985409,5477.277234740598,9941.914134862149,15328.68334678843,1.349869182350298
594.6461636886834,543.667469552347,972.1522609390225,3027.221739857201,5474.945162019328,9950.391512708939,15333.81706421821,1.34342973943538
583.8952552379503,540.4020483681229,968.1682105886551,3023.304046497336,5472.487875547087,9958.845645376434,15338.83116769771,1.33287407738869
572.6280807639669,537.1220360864824,964.176810090686,3019.291178784119,5469.90614687582,9967.274049936374,15343.72453042048,1.31850890038435
560.8597305101421,533.8275570296042,960.1784431691204,3015.183888682036,5467.200821452322,9975.67423617686,15348.49588046008,1.301011475737768
548.6137980502581,530.5187579172824,956.1734758424855,3010.982645987998,5464.372726245047,9984.0438030495,15353.14387801786,1.281430447373016
535.9235905496496,527.195808906217,952.1622497548647,3006.688603217302,5461.422717330841,9992.3803806857,15357.66732632294,1.261141802127797
522.8331955489775,523.8589024529716,948.1450736858661,3002.302497681682,5458.351658832154,10000.68160521355,15362.06529290444,1.24174629738381
509.3982953135046,520.5082484116831,944.1222144910406,2997.82572442962,5455.160401150794,10008.94529934903,15366.33700857408,1.22490167236873
495.6866153576814,517.1440642302548,940.09388995153,2993.258345144955,5451.84975354898,10017.16927754622,15370.48163745483,1.21210149064791
481.7779038913426,513.7665605249176,936.0602668088721,2988.601377599496,5448.420461849426,10025.35139818267,15374.49814253685,1.204440321986378
467.763365438095,510.3759244441401,932.0214667041026,2983.855312738766,5444.873182927648,10033.48954001123,15378.38536970793,1.202428866884247
453.7445125862848,506.9723049722,927.9775804113656,2979.020602276598,5441.20858459182,10041.58153557036,15382.14224816313,1.205922259775023
439.8314487126361,503.5558042957549,923.9286875754697,2974.09804098053,5437.427291492258,10049.6252750298,15385.76788773851,1.214190075397168
426.1406434248142,500.1264772256233,919.874877067453,2969.088287012445,5433.529938251684,10057.61850087533,15389.26146813941,1.226102998914664
412.7923033241641,496.6843377037205,915.8162633856521,2963.99266722606,5429.517198966516,10065.55892997173,15392.62203817958,1.240371008136388
399.9074671177905,493.2293694352163,911.7529967647982,2958.81121678532,5425.38980270285,10073.44430559615,15395.84844377135,1.255762388562488
387.6049629386858,489.7615374655335,907.6852671587598,2953.545076844734,5421.148579193716,10081.27230693949,15398.93947338091,1.271256471294927
375.9983584705282,486.2807985529763,903.6133037487109,2948.194784263459,5416.794443362744,10089.04066832316,15401.89408538268,1.286114978607168
365.1930174887353,482.7871094859386,899.5373718902393,2942.761180022565,5412.328351576746,10096.74704205955,15404.7114949546,1.299880926669298
355.283358799382,479.2804334110643,895.457768939283,2937.245154389987,5407.751352336064,10104.38913096259,15407.39104197665,1.312325700595141
346.3504032863915,475.7607446317888,891.3748197484738,2931.647784514349,5403.064581121823,10111.96470461814,15409.93198600362,1.323367407549991
338.4596951765127,472.228032347818,887.2888721292148,2925.97072572453,5398.269222705572,10119.47145738322,15412.33344808574,1.33298151910542
331.659691495563,468.682303641033,883.200292325715,2920.214404534081,5393.366535570409,10126.90716913273,15414.59456454904,1.341120986381942
325.9807200757588,465.1235858311242,879.109460504956,2914.380314455443,5388.357771174926,10134.26961768449,15416.71469593255,1.347658468506578
321.4346000054001,461.5519282152655,875.0167663367431,2908.46922415455,5383.244235688047,10141.55667348479,15418.69347560677,1.352358281727434
318.0149901036236,457.967403198167,870.9226048225903,2902.482421723802,5378.027274891207,10148.76628872595,15420.53064798912,1.354880470259151
315.6984787948287,454.3701068927333,866.8273725609129,2896.420882643624,5372.708240006907,10155.89636484954,15422.22586401265,1.354814692115331
314.4463596528793,450.760159381845,862.7314645803139,2890.286047256528,5367.288486105812,10162.94494947743,15423.77864529636,1.351738156324695
314.2069653367491,447.1377049293536,858.6352717412642,2884.079760653931,5361.769413778505,10169.91011901421,15425.18855300231,1.345290026240299
314.9183755639144,443.5029124766981,854.5391785283934,2877.802773661248,5356.152441748177,10176.78999288871,15426.45538396976,1.335254265880963
316.5112853909735,439.85597673918,850.4435608640085,2871.456764807366,5350.439072725495,10183.58275694576,15427.57918875281,1.321643023090409
318.9118234743446,436.1971201060616,846.3487833996932,2865.042628140121,5344.630816440468,10190.28658506324,15428.56009096673,1.304772205799123
322.0441422337687,432.5265953243953,842.2551956265323,2858.561926241483,5338.72920056454,10196.8998340966,15429.39809402443,1.285318934909286
325.8326525940737,428.8446885677048,838.163126159098,2852.015561923345,5332.735806490871,10203.42088816286,15430.09307324205,1.264346721719422
330.203832831021,425.1517219328046,834.0728748261959,2845.40513559786,5326.652226096916,10209.84817243806,15430.64495756447,1.243279640435099
